Time (s),Vsep-dc (div 10) (V),Vsep-rf (div 10) (V),DC Current (1 V = 1 nA) (V),AC current (A) (V),AC Voltage (V) (V)
300.163380861,6.76441176471,8.48666666667,8.47814962e-05,0.0,0.0
301.277241945,6.76441176471,8.51,7.82643754e-05,0.0,0.0
302.355916977,6.76441176471,8.53333333333,7.1658271e-05,0.0,0.0
303.477217913,6.76441176471,8.55666666667,7.74967239e-05,0.0,0.0
304.557471991,6.76441176471,8.58,9.35274548e-05,0.0,0.0
305.681978941,6.76441176471,8.60333333333,7.88702112e-05,0.0,0.0
306.763435841,6.76441176471,8.62666666667,2.35224377e-05,0.0,0.0
307.883120775,6.76441176471,8.65,4.72508114e-05,0.0,0.0
308.964262009,6.76441176471,8.67333333333,4.84611673e-05,0.0,0.0
310.086034775,6.76441176471,8.69666666667,1.53204335e-05,0.0,0.0
311.164888859,6.76441176471,8.72,4.35094389e-05,0.0,0.0
312.286180973,6.76441176471,8.74333333333,6.3572515e-05,0.0,0.0
313.368310928,6.76441176471,8.76666666667,5.56107773e-05,0.0,0.0
314.489052773,6.76441176471,8.79,5.56700893e-05,0.0,0.0
315.571275949,6.76441176471,8.81333333333,7.16881359e-05,0.0,0.0
316.691389799,6.76441176471,8.83666666667,6.04576261e-05,0.0,0.0
317.770812988,6.76441176471,8.86,6.8606997e-05,0.0,0.0
318.891655922,6.76441176471,8.88333333333,4.77745359e-05,0.0,0.0
319.971538782,6.76441176471,8.90666666667,9.18726609e-05,0.0,0.0
321.109316826,6.76441176471,8.93,7.58361179e-05,0.0,0.0
322.189816952,6.76441176471,8.95333333333,0.000129777939,0.0,0.0
323.306887865,6.76441176471,8.97666666667,9.59355133e-05,0.0,0.0
324.386955976,6.76441176471,9.0,9.89571467e-05,0.0,0.0
325.500216007,6.76441176471,9.02333333333,9.28042796e-05,0.0,0.0
326.580490828,6.76441176471,9.04666666667,0.000100822342,0.0,0.0
327.70301199,6.76441176471,9.07,9.67934331e-05,0.0,0.0
328.783659935,6.76441176471,9.09333333333,9.75092872e-05,0.0,0.0
329.903107882,6.76441176471,9.11666666667,-6.34584801e-05,0.0,0.0
330.982436895,6.76441176471,9.14,0.000103682353,0.0,0.0
332.106321812,6.76441176471,9.16333333333,0.000123697292,0.0,0.0
333.188608885,6.76441176471,9.18666666667,9.85380773e-05,0.0,0.0
334.309206963,6.76441176471,9.21,9.74256977e-05,0.0,0.0
335.391847849,6.76441176471,9.23333333333,0.000134685191,0.0,0.0
336.509100914,6.76441176471,9.25666666667,0.00011706842,0.0,0.0
337.58788681,6.76441176471,9.28,0.000122222586,0.0,0.0
338.712231874,6.76441176471,9.30333333333,0.000108863173,0.0,0.0
339.794375896,6.76441176471,9.32666666667,0.000111698682,0.0,0.0
340.9176898,6.76441176471,9.35,0.000111601766,0.0,0.0
342.000066996,6.76441176471,9.37333333333,0.000104340404,0.0,0.0
343.117846966,6.76441176471,9.39666666667,8.18469194e-05,0.0,0.0
344.196719885,6.76441176471,9.42,9.71869404e-05,0.0,0.0
345.320770979,6.76441176471,9.44333333333,9.50442925e-05,0.0,0.0
346.402715921,6.76441176471,9.46666666667,0.00011422925,0.0,0.0
347.523606777,6.76441176471,9.49,0.000119196232,0.0,0.0
348.60539794,6.76441176471,9.51333333333,0.000125321355,0.0,0.0
349.728949785,6.76441176471,9.53666666667,0.000158903315,0.0,0.0
350.807769775,6.76441176471,9.56,0.000148378993,0.0,0.0
351.926622868,6.76441176471,9.58333333333,0.000179789725,0.0,0.0
353.007824898,6.76441176471,9.60666666667,0.000176876407,0.0,0.0
354.129126787,6.76441176471,9.63,0.000167513886,0.0,0.0
355.211453915,6.76441176471,9.65333333333,0.000154285139,0.0,0.0
356.331892967,6.76441176471,9.67666666667,0.000145617631,0.0,0.0
357.41119194,6.76441176471,9.7,0.000171344211,0.0,0.0
358.549685955,6.76441176471,9.72333333333,0.000171655832,0.0,0.0
359.630023956,6.76441176471,9.74666666667,0.000171170129,0.0,0.0
360.74678278,6.76441176471,9.77,0.000156828585,0.0,0.0
361.828070879,6.76441176471,9.79333333333,0.000132321833,0.0,0.0
362.948098898,6.76441176471,9.81666666667,0.000124901001,0.0,0.0
364.02773881,6.76441176471,9.84,-2.74265546e-05,0.0,0.0
365.140761852,6.76441176471,9.86333333333,0.000113400553,0.0,0.0
366.22051096,6.76441176471,9.88666666667,0.000114359049,0.0,0.0
367.343540907,6.76441176471,9.91,0.000124097672,0.0,0.0
368.422841787,6.76441176471,9.93333333333,0.000153012646,0.0,0.0
369.546475887,6.76441176471,9.95666666667,0.000137035864,0.0,0.0
370.626447916,6.76441176471,9.98,0.000205905509,0.0,0.0
371.746682882,6.76441176471,10.0033333333,0.000169881965,0.0,0.0
372.825865984,6.76441176471,10.0266666667,0.000160173656,0.0,0.0
373.952207804,6.76441176471,10.05,0.000179102002,0.0,0.0
375.034158945,6.76441176471,10.0733333333,0.000173120872,0.0,0.0
376.167518854,6.76441176471,10.0966666667,0.000163749521,0.0,0.0
377.246583939,6.76441176471,10.12,0.000164892633,0.0,0.0
378.363917828,6.76441176471,10.1433333333,0.000182981555,0.0,0.0
379.445030928,6.76441176471,10.1666666667,0.000160114986,0.0,0.0
380.568642855,6.76441176471,10.19,0.000324455763,0.0,0.0
381.656800985,6.76441176471,10.2133333333,0.000178748281,0.0,0.0
382.777959824,6.76441176471,10.2366666667,0.000205181916,0.0,0.0
383.856976986,6.76441176471,10.26,0.000197119795,0.0,0.0
384.975554943,6.76441176471,10.2833333333,0.000157714218,0.0,0.0
386.056013823,6.76441176471,10.3066666667,0.000181107978,0.0,0.0
387.173661947,6.76441176471,10.33,0.000301137884,0.0,0.0
388.253440857,6.76441176471,10.3533333333,0.000184872537,0.0,0.0
389.36657691,6.76441176471,10.3766666667,0.0001726414,0.0,0.0
390.446141958,6.76441176471,10.4,0.000159503787,0.0,0.0
391.569419861,6.76441176471,10.4233333333,0.000154659508,0.0,0.0
392.648163795,6.76441176471,10.4466666667,0.000145138383,0.0,0.0
393.771965981,6.76441176471,10.47,0.000144696097,0.0,0.0
394.851514816,6.76441176471,10.4933333333,0.00013884862,0.0,0.0
395.971957922,6.76441176471,10.5166666667,-2.83983776e-05,0.0,0.0
397.052183867,6.76441176471,10.54,0.000130450826,0.0,0.0
398.177865982,6.76441176471,10.5633333333,0.000138636934,0.0,0.0
399.25688386,6.76441176471,10.5866666667,0.000125984575,0.0,0.0
400.37805295,6.76441176471,10.61,0.000130428893,0.0,0.0
401.457320929,6.76441176471,10.6333333333,0.000112931613,0.0,0.0
402.578307867,6.76441176471,10.6566666667,0.000103243085,0.0,0.0
403.664608955,6.76441176471,10.68,0.000114120292,0.0,0.0
404.780953884,6.76441176471,10.7033333333,7.59042293e-05,0.0,0.0
405.859775782,6.76441176471,10.7266666667,0.000131472295,0.0,0.0
406.986122847,6.76441176471,10.75,0.000104845439,0.0,0.0
408.067857981,6.76441176471,10.7733333333,0.000111188927,0.0,0.0
409.186840773,6.76441176471,10.7966666667,0.000132531786,0.0,0.0
410.266370773,6.76441176471,10.82,0.000145264746,0.0,0.0
411.389575005,6.76441176471,10.8433333333,0.000166096341,0.0,0.0
412.472416878,6.76441176471,10.8666666667,0.000190090543,0.0,0.0
413.589872837,6.76441176471,10.89,0.000266674144,0.0,0.0
414.669094801,6.76441176471,10.9133333333,0.000148199548,0.0,0.0
415.792399883,6.76441176471,10.9366666667,0.000152539853,0.0,0.0
416.893913984,6.76441176471,10.96,0.000148151829,0.0,0.0
418.015230894,6.76441176471,10.9833333333,0.000103078893,0.0,0.0
419.126146793,6.76441176471,11.0066666667,0.000115844513,0.0,0.0
420.231129885,6.76441176471,11.03,0.000106095357,0.0,0.0
421.318630934,6.76441176471,11.0533333333,0.000105687687,0.0,0.0
422.438866854,6.76441176471,11.0766666667,9.10918762e-05,0.0,0.0
423.519116879,6.76441176471,11.1,0.000122592876,0.0,0.0
424.63874197,6.76441176471,11.1233333333,9.66159148e-05,0.0,0.0
425.719254971,6.76441176471,11.1466666667,8.69402646e-05,0.0,0.0
426.83641696,6.76441176471,11.17,8.56652025e-05,0.0,0.0
427.915766954,6.76441176471,11.1933333333,-2.11217622e-05,0.0,0.0
429.00445199,6.76441176471,11.2166666667,6.6564059e-05,0.0,0.0
430.082771778,6.76441176471,11.24,4.2541052e-05,0.0,0.0
431.207297802,6.76441176471,11.2633333333,6.69582086e-05,0.0,0.0
432.286569834,6.76441176471,11.2866666667,5.59997572e-05,0.0,0.0
433.409662962,6.76441176471,11.31,3.87807963e-05,0.0,0.0
434.489073992,6.76441176471,11.3333333333,3.86662506e-05,0.0,0.0
435.61540699,6.76441176471,11.3566666667,4.31337856e-05,0.0,0.0
436.695094824,6.76441176471,11.38,5.90570676e-05,0.0,0.0
437.812779903,6.76441176471,11.4033333333,5.31930526e-05,0.0,0.0
438.891625881,6.76441176471,11.4266666667,4.31769772e-05,0.0,0.0
440.026132822,6.76441176471,11.45,7.53379555e-05,0.0,0.0
441.113619804,6.76441176471,11.4733333333,8.7531907e-05,0.0,0.0
442.225573778,6.76441176471,11.4966666667,0.000116799349,0.0,0.0
443.302870989,6.76441176471,11.52,0.00010145891,0.0,0.0
444.421172857,6.76441176471,11.5433333333,0.000112725096,0.0,0.0
445.500349998,6.76441176471,11.5666666667,8.67754307e-05,0.0,0.0
446.624365807,6.76441176471,11.59,6.28557941e-05,0.0,0.0
447.710656881,6.76441176471,11.6133333333,7.01416577e-05,0.0,0.0
448.824044943,6.76441176471,11.6366666667,7.07180464e-05,0.0,0.0
449.904142857,6.76441176471,11.66,9.82341959e-05,0.0,0.0
451.027402878,6.76441176471,11.6833333333,6.89044241e-05,0.0,0.0
452.106733799,6.76441176471,11.7066666667,6.2973358e-05,0.0,0.0
453.237588882,6.76441176471,11.73,5.64895383e-05,0.0,0.0
454.316643953,6.76441176471,11.7533333333,7.75973005e-05,0.0,0.0
455.433051825,6.76441176471,11.7766666667,7.09673366e-05,0.0,0.0
456.518703938,6.76441176471,11.8,7.87365269e-05,0.0,0.0
457.638476849,6.76441176471,11.8233333333,8.80498504e-05,0.0,0.0
458.718764782,6.76441176471,11.8466666667,0.000108633439,0.0,0.0
459.837600946,6.76441176471,11.87,9.9654311e-05,0.0,0.0
460.926037788,6.76441176471,11.8933333333,8.88370585e-05,0.0,0.0
462.041354895,6.76441176471,11.9166666667,9.89326449e-05,0.0,0.0
463.119677782,6.76441176471,11.94,9.45549293e-05,0.0,0.0
464.241495848,6.76441176471,11.9633333333,0.000125728413,0.0,0.0
465.321214914,6.76441176471,11.9866666667,0.000102972087,0.0,0.0
466.444479942,6.76441176471,12.01,0.000114396011,0.0,0.0
467.526332855,6.76441176471,12.0333333333,8.52562481e-05,0.0,0.0
468.644782782,6.76441176471,12.0566666667,0.00010296605,0.0,0.0
469.723200798,6.76441176471,12.08,9.7698205e-05,0.0,0.0
470.852670908,6.76441176471,12.1033333333,8.51597499e-05,0.0,0.0
471.933482885,6.76441176471,12.1266666667,0.000106943386,0.0,0.0
